August,21.0
August,21.18
August,22.25
August,24.51
August,25.71
August,27.77
August,28.17
August,29.19
August,30.41
August,31.07
August,35.54
August,37.83
August,40.87
August,40.98
August,42.57
August,43.79
August,44.27
August,49.28
August,49.85
July,21.23
July,23.22
July,23.83
July,25.48
July,26.91
July,29.05
July,30.59
July,30.67
July,33.4
July,34.83
July,35.51
July,36.71
July,38.54
July,43.77
July,44.14
July,44.15
July,47.93
June,21.2
June,23.68
June,24.85
June,25.94
June,26.21
June,26.52
June,26.68
June,29.79
June,32.92
June,37.11
June,37.77
June,38.64
June,39.34
June,39.9
June,41.26
June,41.62
June,44.13
June,44.72
June,46.46
June,48.96
June,49.52
May,20.37
May,20.8
May,21.06
May,21.62
May,24.04
May,24.13
May,24.22
May,25.23
May,26.0
May,26.42
May,28.24
May,29.99
May,30.29
May,32.68
May,33.29
May,33.33
May,34.42
May,34.4
May,35.17
May,35.3
May,35.48
May,38.08
May,38.38
May,42.51
May,43.15
May,45.29
May,45.43
May,46.48
May,47.28
May,47.36
May,49.41
